Ticker
AAPL
MSFT
NVDA
AMZN
GOOG
GOOGL
META
BRK.B
AVGO
TSLA
LLY
WMT
JPM
V
MA
XOM
NFLX
COST
UNH
ORCL
PG
JNJ
HD
ABBV
KO
BAC
TMUS
PM
CRM
PLTR
CVX
WFC
MCD
ABT
CSCO
IBM
LIN
GE
MRK
T
NOW
AXP
MS
PEP
ACN
ISRG
VZ
GS
INTU
BX
UBER
RTX
DIS
QCOM
TMO
BKNG
PGR
ADBE
AMD
SPGI
AMGN
BSX
TXN
CAT
SCHW
BLK
TJX
DHR
SYK
NEE
BA
GILD
PFE
HON
UNP
C
VRTX
DE
CMCSA
LOW
AMAT
ADP
PANW
COP
CB
ETN
LMT
MDT
MMC
CRWD
KKR
SO
BMY
MO
FI
AMT
GEV
PLD
ELV
ADI
WELL
SBUX
ANET
CME
DUK
INTC
ICE
APH
KLAC
WM
LRCX
CI
MU
NKE
MCK
MDLZ
AJG
CTAS
HCA
UPS
SHW
CVS
EQIX
MCO
AON
DASH
FTNT
CDNS
ORLY
TT
PH
TDG
APO
ABNB
RSG
CL
MMM
GD
WMB
MSI
ITW
COF
CEG
ECL
ZTS
SNPS
CMG
NOC
DELL
MAR
REGN
WDAY
PYPL
PNC
EOG
USB
NEM
AZO
ROP
CPRT
APD
KMI
AFL
EMR
TRV
SPG
BDX
ADSK
MNST
RCL
AEP
BK
COR
FCX
HWM
CHTR
JCI
CSX
DLR
HLT
CARR
PAYX
PSA
FDX
MET
ALL
OKE
O
NSC
TFC
NXPI
GWW
PCAR
SRE
AIG
SLB
FICO
KR
DFS
FAST
KDP
EXC
ROST
D
AMP
GM
AXON
EW
KMB
CCI
KVUE
TGT
NDAQ
MPC
PSX
TEL
FIS
CTVA
VST
URI
PWR
YUM
MSCI
HES
PEG
LHX
CMI
XEL
VRSK
ED
F
FANG
OXY
TTWO
DHI
AME
TRGP
GRMN
PCG
EA
GLW
PRU
OTIS
ETR
CBRE
BKR
IDXX
VLO
CTSH
SYY
KHC
WEC
RMD
ACGL
VICI
CSGP
HIG
BRO
ODFL
STZ
HSY
VMC
CAH
LULU
HUM
IT
EFX
WAB
EXR
EBAY
GIS
MLM
LYV
GEHC
TPL
IR
CNC
WTW
A
VTR
AVB
EQT
LEN
K
AWK
DTE
XYL
RJF
ROK
MPWR
BR
DXCM
ANSS
DD
MTB
DAL
WRB
EQR
ROL
PPL
AEE
TKO
NUE
IQV
STT
TSCO
LVS
GDDY
ATO
MCHP
IP
IRM
KEYS
CNP
CHD
CCL
FE
EXE
SBAC
HPQ
FITB
VRSN
PPG
FTV
DRI
ADM
DOV
TYL
VLTO
CPAY
UAL
EIX
CBOE
MTD
STE
FOXA
CMS
SW
TSN
TDY
ES
FOX
ERIE
HPE
SMCI
HBAN
CINF
EL
NVR
DOW
WBD
NRG
CDW
INVH
DG
PHM
EXPE
DVN
WAT
ZBH
MKC
TROW
SYF
IFF
DGX
CTRA
HUBB
MAA
LYB
LH
STLD
WSM
NI
LDOS
LII
WY
RF
ESS
HAL
PTC
PODD
L
NTRS
NTAP
GPN
STX
BIIB
ULTA
DLTR
MOH
EG
CLX
PKG
PFG
ON
DECK
DPZ
HRL
KEY
COO
CFG
BF.B
GPC
SNA
FDS
NWS
LNT
EVRG
JBL
BAX
FFIV
GEN
EXPD
NWSA
WST
LUV
TRMB
UDR
J
OMC
PNR
FSLR
BALL
TPR
WDC
AMCR
BBY
KIM
BLDR
AVY
RL
ALGN
DOC
ARE
JBHT
IEX
HOLX
REG
CF
MAS
PAYC
APTV
CPT
JKHY
ZBRA
TER
TXT
SJM
ALLE
CAG
TAP
JNPR
BXP
SOLV
AKAM
RVTY
INCY
UHS
PNW
DVA
CPB
POOL
CHRW
BG
NDSN
MRNA
GL
KMX
HST
BEN
AIZ
LKQ
VTRS
SWK
WBA
SWKS
AOS
IPG
EMN
MOS
DAY
EPAM
MGM
HII
WYNN
HAS
FRT
MKTX
HSIC
TECH
PARA
NCLH
MTCH
LW
AES
ALB
MHK
GNRC
IVZ
ENPH
